2022-02-26 13:53:51.4645, Unable to read banned.txt
2022-02-26 13:53:51.4645, Adding Test Frequency: 247200000
2022-02-26 13:53:51.4645, Adding Test Frequency: 120300000
2022-02-26 13:53:51.4645, Adding Global Frequency: 248220000
2022-02-26 13:53:51.5556, DCS-SRS Server Running - 1.9.9.0
2022-02-26 13:53:51.9856, EVENT, TRANSMISSION LOGGING ENABLED
2022-02-26 13:53:52.8655, Running latest stable version: 1.9.9.0
2022-02-26 18:27:48.9456, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:27:46 PM, 2022-02-26 6:27:48 PM, 108.63.217.4:54805
2022-02-26 18:27:58.6068, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 69.420 FM. 2022-02-26 6:27:54 PM, 2022-02-26 6:27:58 PM, 75.33.150.12:51772
2022-02-26 18:28:23.9035, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:28:01 PM, 2022-02-26 6:28:23 PM, 108.63.217.4:54805
2022-02-26 18:28:33.0095, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:28:30 PM, 2022-02-26 6:28:32 PM, 108.63.217.4:54805
2022-02-26 18:30:30.9048, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:30:27 PM, 2022-02-26 6:30:30 PM, 108.63.217.4:54805
2022-02-26 18:30:44.0524, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 69.420 FM. 2022-02-26 6:30:37 PM, 2022-02-26 6:30:43 PM, 75.33.150.12:51772
2022-02-26 18:30:45.5835, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:30:43 PM, 2022-02-26 6:30:45 PM, 108.63.217.4:54805
2022-02-26 18:30:50.1289, TRANSMISSION, wSmVAf8qlkes0RLBnT3btA, Zykstar, 2, 69.420 FM. 2022-02-26 6:30:46 PM, 2022-02-26 6:30:49 PM, 134.41.0.42:61761
2022-02-26 18:30:52.6435, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:30:50 PM, 2022-02-26 6:30:52 PM, 108.63.217.4:54805
2022-02-26 18:30:55.1705, TRANSMISSION, wSmVAf8qlkes0RLBnT3btA, Zykstar, 2, 69.420 FM. 2022-02-26 6:30:53 PM, 2022-02-26 6:30:54 PM, 134.41.0.42:61761
