2022-03-05 17:31:50.9986, Unable to read banned.txt
2022-03-05 17:31:51.0136, Adding Test Frequency: 247200000
2022-03-05 17:31:51.0136, Adding Test Frequency: 120300000
2022-03-05 17:31:51.0136, Adding Global Frequency: 248220000
2022-03-05 17:31:51.2336, DCS-SRS Server Running - 1.9.9.0
2022-03-05 17:31:51.5287, EVENT, TRANSMISSION LOGGING ENABLED
2022-03-05 17:31:53.6138, Running latest stable version: 1.9.9.0
2022-03-05 17:32:23.8847, Disconnecting Client
2022-03-05 17:32:23.8847, Removed Disconnected Client UjfQ8J2j1Uu3s9DdnspSLQ
2022-03-05 17:36:39.2615, Disconnecting Client
2022-03-05 17:36:39.2615, Removed Disconnected Client E1Q_LEj6C0qVLMFEDLf1-w
2022-03-05 18:00:42.7422, Disconnecting Client
2022-03-05 18:00:42.7422, Removed Disconnected Client GZf3iEU6Ak2olmB77xfedQ
2022-03-05 18:55:14.3074, TRANSMISSION, EgXo_bABvUeQvTx-t1CDdA, Scurrdi, 2, 69.420 FM. 2022-03-05 6:55:13 PM, 2022-03-05 6:55:13 PM, 75.33.150.12:58053
2022-03-05 18:55:15.3159, TRANSMISSION, GZf3iEU6Ak2olmB77xfedQ, Tofutakeout, 2, 69.420 FM. 2022-03-05 6:55:12 PM, 2022-03-05 6:55:14 PM, 45.51.249.70:63263
2022-03-05 18:55:18.3673, TRANSMISSION, EgXo_bABvUeQvTx-t1CDdA, Scurrdi, 2, 69.420 FM. 2022-03-05 6:55:16 PM, 2022-03-05 6:55:17 PM, 75.33.150.12:58053
2022-03-05 18:55:20.9065, TRANSMISSION, EgXo_bABvUeQvTx-t1CDdA, Scurrdi, 2, 69.420 FM. 2022-03-05 6:55:18 PM, 2022-03-05 6:55:20 PM, 75.33.150.12:58053
2022-03-05 18:55:31.5307, TRANSMISSION, i9V87lUEaEWtKMqOtFkzWw, Neddie, 2, 69.420 FM. 2022-03-05 6:55:24 PM, 2022-03-05 6:55:30 PM, 127.0.0.1:61992
2022-03-05 18:55:36.5827, TRANSMISSION, EgXo_bABvUeQvTx-t1CDdA, Scurrdi, 2, 69.420 FM. 2022-03-05 6:55:34 PM, 2022-03-05 6:55:35 PM, 75.33.150.12:58053
2022-03-05 18:58:05.0581, TRANSMISSION, ucmMQDWg10-IYnmMgdXxJw, Zykstar, 2, 69.420 FM. 2022-03-05 6:58:04 PM, 2022-03-05 6:58:04 PM, 134.41.0.42:59946
2022-03-05 18:58:17.2164, TRANSMISSION, EgXo_bABvUeQvTx-t1CDdA, Scurrdi, 2, 69.420 FM. 2022-03-05 6:58:14 PM, 2022-03-05 6:58:16 PM, 75.33.150.12:58053
2022-03-05 19:01:12.5425, TRANSMISSION, EgXo_bABvUeQvTx-t1CDdA, Scurrdi, 2, 69.420 FM. 2022-03-05 7:01:09 PM, 2022-03-05 7:01:11 PM, 75.33.150.12:58053
2022-03-05 19:01:18.6266, TRANSMISSION, E1Q_LEj6C0qVLMFEDLf1-w, Relais, 2, 69.420 FM. 2022-03-05 7:01:13 PM, 2022-03-05 7:01:17 PM, 108.63.217.4:64921
2022-03-05 19:01:22.1684, TRANSMISSION, E1Q_LEj6C0qVLMFEDLf1-w, Relais, 2, 69.420 FM. 2022-03-05 7:01:19 PM, 2022-03-05 7:01:21 PM, 108.63.217.4:64921
2022-03-05 19:01:25.7019, TRANSMISSION, EgXo_bABvUeQvTx-t1CDdA, Scurrdi, 2, 69.420 FM. 2022-03-05 7:01:22 PM, 2022-03-05 7:01:25 PM, 75.33.150.12:58053
2022-03-05 19:01:33.7858, TRANSMISSION, E1Q_LEj6C0qVLMFEDLf1-w, Relais, 2, 69.420 FM. 2022-03-05 7:01:27 PM, 2022-03-05 7:01:32 PM, 108.63.217.4:64921
2022-03-05 19:01:42.3627, TRANSMISSION, EgXo_bABvUeQvTx-t1CDdA, Scurrdi, 2, 69.420 FM. 2022-03-05 7:01:35 PM, 2022-03-05 7:01:41 PM, 75.33.150.12:58053
2022-03-05 19:01:50.9521, TRANSMISSION, E1Q_LEj6C0qVLMFEDLf1-w, Relais, 2, 69.420 FM. 2022-03-05 7:01:42 PM, 2022-03-05 7:01:50 PM, 108.63.217.4:64921
2022-03-05 19:02:03.6070, TRANSMISSION, EgXo_bABvUeQvTx-t1CDdA, Scurrdi, 2, 69.420 FM. 2022-03-05 7:01:53 PM, 2022-03-05 7:02:02 PM, 75.33.150.12:58053
2022-03-05 19:02:04.1121, TRANSMISSION, E1Q_LEj6C0qVLMFEDLf1-w, Relais, 2, 69.420 FM. 2022-03-05 7:01:59 PM, 2022-03-05 7:02:03 PM, 108.63.217.4:64921
2022-03-05 19:02:06.6422, TRANSMISSION, GZf3iEU6Ak2olmB77xfedQ, Tofutakeout, 2, 69.420 FM. 2022-03-05 7:01:59 PM, 2022-03-05 7:02:05 PM, 45.51.249.70:63263
2022-03-05 19:02:17.2739, TRANSMISSION, EgXo_bABvUeQvTx-t1CDdA, Scurrdi, 2, 69.420 FM. 2022-03-05 7:02:12 PM, 2022-03-05 7:02:16 PM, 75.33.150.12:58053
